"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene","symbol"
"ENSG00000160072",298.556302477826,0.496853014873877,0.281062959078909,0.0344000761697347,0.198547928352896,"ENSG00000160072","ATAD3B"
"ENSG00000142611",30.5882507781586,-2.00578086196261,0.751281012770043,0.000395746794967522,0.00834590850793595,"ENSG00000142611","PRDM16"
"ENSG00000157911",160.219929397489,0.214485887838617,0.34026843328219,0.389236714759345,0.713715429035795,"ENSG00000157911","PEX10"
"ENSG00000269896",16.2543331948347,-0.00369400845293232,0.390009071512027,0.984750802616777,0.994545450637752,"ENSG00000269896",NA
"ENSG00000142655",114.118876264639,0.139669056812032,0.273931630705337,0.537424677579136,0.812552031231045,"ENSG00000142655","PEX14"
"ENSG00000149527",272.815294739666,-1.14242445670992,0.629811431771488,0.00575348169734131,0.0597484130160591,"ENSG00000149527","PLCH2"
"ENSG00000171621",147.12369628438,-0.0190420401055903,0.372265010347003,0.931663182837728,0.978146952340874,"ENSG00000171621","SPSB1"
"ENSG00000142583",32.1018226721638,1.84444642805375,0.71527629968016,0.000552680451319815,0.010735314313035,"ENSG00000142583","SLC2A5"
"ENSG00000116786",411.304066064861,0.12245246534517,0.260935314033015,0.577970961265107,0.832692083571573,"ENSG00000116786","PLEKHM2"
"ENSG00000287727",28.8070103789179,0.0898935900139338,0.363920105847569,0.705908170910169,0.899556453883791,"ENSG00000287727",NA
"ENSG00000173614",25.6405362681611,-0.0410919002128441,0.3671109571733,0.85992632911295,0.95722680898181,"ENSG00000173614","NMNAT1"
"ENSG00000162592",18.0398783273627,0.0592879696214151,0.363263944191359,0.805423497823569,0.937974534057413,"ENSG00000162592","CCDC27"
"ENSG00000142606",21.5034876463439,-0.00775200272369572,0.362224719595292,0.971876195683168,0.990540854749179,"ENSG00000142606","MMEL1"
"ENSG00000171729",53.1016158206659,0.653976832816376,0.485472216732522,0.0395465129121151,0.217398203751475,"ENSG00000171729","TMEM51"
"ENSG00000279457",28.7506235177892,-0.0385230984841471,0.376089864824515,0.8669093798164,0.959236989603892,"ENSG00000279457",NA
"ENSG00000037637",215.188461599632,-0.0931964574106144,0.277981038459438,0.678365923858805,0.88465075052829,"ENSG00000037637","FBXO42"
"ENSG00000159423",120.215032035692,0.141234530173617,0.394738551776628,0.555066934573865,0.821534920768842,"ENSG00000159423","ALDH4A1"
"ENSG00000011021",229.142518693835,-0.0852521992899963,0.31077910062702,0.717010578430715,0.903710782650121,"ENSG00000011021","CLCN6"
"ENSG00000157916",339.736329484231,0.128410017710398,0.316038081950713,0.594631198918769,0.841126803158406,"ENSG00000157916","RER1"
"ENSG00000157881",129.265433137741,0.200487634726057,0.288774033616714,0.389744212425709,0.714046077697886,"ENSG00000157881","PANK4"
"ENSG00000048707",1078.40474465752,-0.253991730272437,0.284737202775856,0.271109863514992,0.606890165719844,"ENSG00000048707","VPS13D"
"ENSG00000162444",11.8856489006956,-1.59984878727658,0.941498980514108,0.00454429552425384,0.0512695916554706,"ENSG00000162444","RBP7"
"ENSG00000180758",148.356452681438,0.251924893240693,0.331977109332533,0.311682857717135,0.645532670240615,"ENSG00000180758","GPR157"
"ENSG00000184677",311.946887296554,-0.0583049677782649,0.292123225989198,0.798894845374861,0.935696850290836,"ENSG00000184677","ZBTB40"
"ENSG00000288398",29.7961939259186,0.0413658957901891,0.330424623916797,0.864805748060841,0.958900310094702,"ENSG00000288398",NA
"ENSG00000131697",210.675633366889,0.179354804160836,0.317311035276449,0.459544940017935,0.762956528712068,"ENSG00000131697","NPHP4"
"ENSG00000280222",17.7027772379474,-0.00415397410431419,0.415901242097284,0.981032633610085,0.993278759112582,"ENSG00000280222",NA
"ENSG00000234166",14.6630884407194,0.119848953732917,0.415694959819293,0.593048099767361,0.840374073885803,"ENSG00000234166",NA
"ENSG00000055070",449.905987338313,0.195706189022538,0.312673559381599,0.418297002468635,0.737391356647493,"ENSG00000055070","SZRD1"
"ENSG00000175087",34.7260842908459,0.0714564448590654,0.352068828360612,0.768389082553098,0.923019566154307,"ENSG00000175087","PDIK1L"
"ENSG00000157191",201.645296091999,0.351418506835586,0.290705846888693,0.137379116866776,0.436136084663406,"ENSG00000157191","NECAP2"
"ENSG00000162511",724.334945411041,2.1615013523608,0.413133251537086,1.08500764444256e-08,2.04140997102914e-06,"ENSG00000162511","LAPTM5"
"ENSG00000204138",220.37008496654,-0.11205336625659,0.264541958010868,0.609827296165038,0.849881019607384,"ENSG00000204138","PHACTR4"
"ENSG00000142675",114.188343562946,-0.0656181919683896,0.315683680026845,0.780571721885021,0.928528600675352,"ENSG00000142675","CNKSR1"
"ENSG00000197245",19.7974849156122,-0.346163682116832,0.495828516808031,0.181291061609143,0.501247192528608,"ENSG00000197245","FAM110D"
"ENSG00000130772",29.1393350841882,0.256941294273081,0.397593457543251,0.315957105329763,0.649372486025318,"ENSG00000130772","MED18"
"ENSG00000090020",319.389195020054,0.024749772028851,0.312980130723221,0.917732250297303,0.97400518479251,"ENSG00000090020","SLC9A1"
"ENSG00000157978",218.511408698511,0.402999815166423,0.357995478451044,0.127155080572452,0.418470042626076,"ENSG00000157978","LDLRAP1"
"ENSG00000130770",83.7972194094071,0.555816257577601,0.392657256594519,0.0511831055351522,0.25250770651031,"ENSG00000130770","ATP5IF1"
"ENSG00000229044",10.7986939481004,-0.121746264913494,0.421634970972089,0.577332354814982,0.832692083571573,"ENSG00000229044",NA
"ENSG00000162512",750.966946087046,-0.156890703708634,0.305274432239271,0.506432494719829,0.793926334199376,"ENSG00000162512","SDC3"
"ENSG00000158006",52.0871700905395,-0.0810829355283853,0.323353192138838,0.733215573065483,0.910871314260726,"ENSG00000158006","PAFAH2"
"ENSG00000126698",95.0277388491011,0.0673554315100465,0.290369710475118,0.772890526303152,0.92512580866237,"ENSG00000126698","DNAJC8"
"ENSG00000130766",73.4783631210254,0.523895681814272,0.384082601739505,0.0613652132237242,0.280714771079104,"ENSG00000130766","SESN2"
"ENSG00000168528",402.512059338476,0.565471179043026,0.542950812107802,0.0688700753655677,0.300588605594607,"ENSG00000168528","SERINC2"
"ENSG00000196581",10.0307148110469,-0.0644255831407465,0.422319191605311,0.751631723467037,0.917742939343375,"ENSG00000196581","AJAP1"
"ENSG00000169403",112.194073959818,1.05255523478658,0.531166311644819,0.00517963078413003,0.0557813099765654,"ENSG00000169403","PTAFR"
"ENSG00000060688",94.2767185049144,-0.019006384813227,0.307874710310085,0.933581725570682,0.978463258237651,"ENSG00000060688","SNRNP40"
"ENSG00000171612",25.2094964873969,0.10066357172207,0.376180616970513,0.67484157865454,0.882504591182585,"ENSG00000171612","SLC25A33"
"ENSG00000188910",20.3641454386435,-0.146919267689132,0.461343193988518,0.433664203099119,0.746541955657982,"ENSG00000188910","GJB3"
"ENSG00000116138",137.470226697837,0.036065930866536,0.293936568777297,0.878798207093163,0.96267812525898,"ENSG00000116138","DNAJC16"
"ENSG00000158161",157.836255768963,0.012823044206759,0.268774147961009,0.956203865251592,0.985969783198747,"ENSG00000158161","EYA3"
"ENSG00000142684",32.550136801284,0.348597821462604,0.392756590931404,0.19252331850299,0.516496481625576,"ENSG00000142684","ZNF593"
"ENSG00000121769",35.7476390132181,-0.597256774287537,0.79203089173319,0.0472399139419361,0.241244017440071,"ENSG00000121769","FABP3"
"ENSG00000142627",188.68719883,-0.149843915910619,0.353063485701537,0.538865978787016,0.813700192206705,"ENSG00000142627","EPHA2"
