"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene","symbol"
"ENSG00000148053",466.48362952813,-3.92590186737735,0.368358925583389,8.88006873247357e-28,1.704173990449e-23,"ENSG00000148053","NTRK2"
"ENSG00000065618",669.697020647887,-4.88211707673237,0.48580525416684,4.83792969480193e-25,4.64223543864719e-21,"ENSG00000065618","COL17A1"
"ENSG00000066468",250.134387927123,-3.27354526511297,0.355086389747356,1.68981639850256e-21,1.08097555012209e-17,"ENSG00000066468","FGFR2"
"ENSG00000182253",1048.69697338882,-3.86385199537059,0.451765766591895,6.33752611589367e-19,3.04058659225289e-15,"ENSG00000182253","SYNM"
"ENSG00000103522",95.2816617573878,3.88164370214166,0.473674104202181,1.57448612384453e-17,6.04319264054008e-14,"ENSG00000103522","IL21R"
"ENSG00000069535",131.796904507313,-4.12787127151341,0.513255270688396,4.68257172589948e-17,1.49772056652895e-13,"ENSG00000069535","MAOB"
"ENSG00000261054",389.730541701349,-4.09153894587907,0.526876525801829,3.98867831194973e-16,1.09352464978039e-12,"ENSG00000261054",NA
"ENSG00000018625",78.5543516131596,-3.86138319207523,0.497590155685884,5.56077614780909e-16,1.33396068815755e-12,"ENSG00000018625","ATP1A2"
"ENSG00000100985",268.760822685278,4.04507080779686,0.530868348103942,1.35324665113122e-15,2.8855729424288e-12,"ENSG00000100985","MMP9"
"ENSG00000154451",162.334404947101,4.28062758677321,0.565097155238348,1.99345281332047e-15,3.04928691185509e-12,"ENSG00000154451","GBP5"
"ENSG00000138755",154.33418386317,6.46990872651787,0.850539063599301,1.89422116052314e-15,3.04928691185509e-12,"ENSG00000138755","CXCL9"
"ENSG00000198947",414.414132076303,-3.38789226866089,0.447512580473113,1.93398559475689e-15,3.04928691185509e-12,"ENSG00000198947","DMD"
"ENSG00000138316",173.336270339843,4.16199230311712,0.549653902887649,2.06558959168966e-15,3.04928691185509e-12,"ENSG00000138316","ADAMTS14"
"ENSG00000139144",94.0061055273093,-4.61256460997541,0.608314664004993,2.35941611129617e-15,3.23425389942034e-12,"ENSG00000139144","PIK3C2G"
"ENSG00000171346",1604.54222425122,-3.382694752083,0.448515433985033,2.55139298836867e-15,3.26425218931888e-12,"ENSG00000171346","KRT15"
"ENSG00000110484",126.991683563042,-6.57468839007981,0.890264028456817,1.5507818318676e-14,1.8600658834607e-11,"ENSG00000110484","SCGB2A2"
"ENSG00000196208",426.016700762506,-2.95065679095568,0.406138370889457,2.07318787597404e-14,2.21036380710099e-11,"ENSG00000196208","GREB1"
"ENSG00000137558",52.1602818707633,-5.1121314263044,0.687234764651713,1.97728829017836e-14,2.21036380710099e-11,"ENSG00000137558","PI15"
"ENSG00000073282",247.577805104008,-6.02841568230684,0.834242936004138,2.32286430604483e-14,2.34621520512138e-11,"ENSG00000073282","TP63"
"ENSG00000100146",214.757514388066,-3.71906145241168,0.515338568022333,2.66540204790828e-14,2.55758653507039e-11,"ENSG00000100146","SOX10"
"ENSG00000113594",386.180790472466,-3.54780759845333,0.492723708557521,3.03701725028824e-14,2.77539990715627e-11,"ENSG00000113594","LIFR"
"ENSG00000123243",295.043680910859,-2.97349637382934,0.422871840908193,1.12417017234723e-13,9.80634080796168e-11,"ENSG00000123243","ITIH5"
"ENSG00000170500",269.556200257112,-4.47288241078788,0.642315817237718,1.61635889157262e-13,1.34867580383349e-10,"ENSG00000170500","LONRF2"
