"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002768","GO:0002768","immune response-regulating cell surface receptor signaling pathway","80/1233","385/18860",0.207792207792208,3.17839500321252,11.4215866705222,9.39473795070755e-21,5.14267955421731e-17,3.92106694469005e-17,"IGHG1/LILRB4/GATA3/PIK3R1/FPR3/LAPTM5/TRBC1/FCRL3/CAV1/KIT/FCMR/IGHG3/CD3D/HLA-DRB1/ZAP70/CD53/PIK3AP1/CR2/IGHG4/TRAC/PTPRC/OAS1/FCGR1A/ITK/PTPN6/FYB1/FOXP3/SLA2/FCGR3A/LCK/CD19/LILRB1/PAK3/CD3E/MICB/CARD11/TRBC2/LCP2/MYO1G/UBASH3A/CCR7/NCKAP1L/CTLA4/CSK/MS4A1/HLA-DPB1/IGLC3/CD8A/LPXN/SH2B2/SKAP1/IRAK1/FER/HLA-A/THEMIS/MYD88/LAX1/PRNP/PRKCQ/CD24/BTNL9/FPR1/CD226/SLC39A6/CD3G/CD247/BLK/CYBA/CD38/LAT2/C5AR1/FCGR2A/ZNF683/VAV1/TYROBP/FCER1G/CD300A/GBP1/CD79A/GPLD1",80
"GO:0030098","GO:0030098","lymphocyte differentiation","86/1233","441/18860",0.195011337868481,2.98289848515778,11.1439310944558,2.47356526793115e-20,6.77014813832755e-17,5.16194015123526e-17,"LILRB4/GATA3/CDKN2A/IL4I1/PIK3R1/LAPTM5/SASH3/IKZF3/FCRL3/KIT/PAX5/CD3D/ASCL2/ADAM8/HLA-DRB1/ZAP70/CR2/HMGB3/JAK3/HLA-DOA/PTPRC/IRF1/IL12RB1/SLAMF8/RSAD2/IL7R/INHBA/CD2/SLAMF6/ITK/PTPN6/PLA2G2D/TNFRSF9/FOXP3/HLA-DRA/LCK/CD19/IL6ST/CD3E/CARD11/EZH2/LEF1/ITM2A/CCR7/NCKAP1L/CTLA4/CD74/MS4A1/IRF8/LEPR/CD4/SPIB/IL2RG/TMEM98/SLAMF1/RUNX3/IKZF1/CD80/CD8A/SPN/ZBTB16/SOCS1/WNT4/CAMK4/RUNX2/FANCD2/THEMIS/DOCK2/CD83/LGALS9/IL2RA/CD86/GLI3/BAK1/CD3G/CFB/LAG3/TCIRG1/IRF4/ZNF683/LY9/VAV1/FCER1G/STAT4/CD79A/ITGA4",86
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","84/1233","439/18860",0.191343963553531,2.92680223245709,10.8034997438932,2.41945630379138e-19,4.41470126898466e-16,3.36601552439747e-16,"CCL5/LILRB4/GATA3/CDKN2A/IL4I1/LAPTM5/SIRPG/TIGIT/SASH3/CAV1/ASCL2/ADAM8/HLA-DRB1/ZAP70/RASAL3/JAK3/HLA-DOA/PTPRC/IRF1/IL12RB1/IL7R/PTPN6/HLA-DPA1/PLA2G2D/FOXP3/CD6/HLA-DRA/LCK/IL6ST/CORO1A/LILRB1/CD3E/JAM2/CARD11/ITGAL/LEF1/SELL/CCR7/NCKAP1L/CTLA4/CD74/CSK/RAC2/TNFRSF13C/CD4/HLA-DPB1/IL2RG/DLG5/SLAMF1/RUNX3/SELPLG/F11R/FERMT3/CD80/SPN/ZBTB16/SOCS1/SKAP1/PDCD1/IRAK1/CYRIB/HLA-A/ICAM1/LAX1/PRNP/PRKCQ/CD83/CD24/LGALS9/IL2RA/CD86/GLI3/STK10/S100A9/CXCL12/LAG3/IGF1/S100A8/RIPOR2/HLA-DMB/CD37/VAV1/CD300A/ITGA4",84
"GO:0046631","GO:0046631","alpha-beta T cell activation","54/1233","206/18860",0.262135922330097,4.00963787116434,11.4871828303429,4.15611879337016e-19,5.68764856872706e-16,4.33658184624018e-16,"LILRB4/GATA3/PIK3R1/SASH3/TRBC1/CD3D/ASCL2/HLA-DRB1/ZAP70/RASAL3/JAK3/TRAC/PTPRC/IRF1/IL12RB1/RSAD2/SLAMF6/ITK/PLA2G2D/FOXP3/HLA-DRA/IL6ST/NKG7/LILRB1/CD3E/CARD11/TRBC2/LEF1/NCKAP1L/WDFY4/IL2RG/TMEM98/RUNX3/CD80/SPN/ZBTB16/SOCS1/HLA-A/PRKCQ/DOCK2/CD83/LGALS9/IL2RA/CD86/GLI3/CD3G/CD247/TCIRG1/MYC/IRF4/ZNF683/LY9/STAT4/CD300A",54
"GO:0002429","GO:0002429","immune response-activating cell surface receptor signaling pathway","72/1233","353/18860",0.203966005665722,3.11986931618453,10.6335945072443,2.54686091499792e-18,2.78830332973972e-15,2.12595863746668e-15,"IGHG1/LILRB4/GATA3/PIK3R1/FPR3/LAPTM5/TRBC1/FCRL3/CAV1/FCMR/IGHG3/CD3D/HLA-DRB1/ZAP70/CD53/PIK3AP1/CR2/IGHG4/TRAC/PTPRC/OAS1/ITK/PTPN6/FYB1/FOXP3/SLA2/LCK/CD19/PAK3/CD3E/MICB/CARD11/TRBC2/LCP2/MYO1G/UBASH3A/CCR7/NCKAP1L/CTLA4/CSK/MS4A1/HLA-DPB1/IGLC3/CD8A/LPXN/SH2B2/SKAP1/IRAK1/HLA-A/THEMIS/MYD88/LAX1/PRNP/BTNL9/FPR1/CD226/SLC39A6/CD3G/CD247/BLK/CYBA/CD38/LAT2/C5AR1/ZNF683/VAV1/TYROBP/FCER1G/CD300A/GBP1/CD79A/GPLD1",72
"GO:0050851","GO:0050851","antigen receptor-mediated signaling pathway","54/1233","215/18860",0.251162790697674,3.84179256492955,11.0836314440533,3.34989819634416e-18,3.05622378779799e-15,2.33023620149204e-15,"IGHG1/LILRB4/GATA3/LAPTM5/TRBC1/FCRL3/FCMR/IGHG3/CD3D/HLA-DRB1/ZAP70/CD53/IGHG4/TRAC/PTPRC/ITK/PTPN6/FYB1/FOXP3/SLA2/LCK/CD19/CD3E/CARD11/TRBC2/LCP2/UBASH3A/CCR7/NCKAP1L/CTLA4/CSK/MS4A1/HLA-DPB1/IGLC3/CD8A/LPXN/SH2B2/SKAP1/HLA-A/THEMIS/LAX1/PRNP/BTNL9/CD226/SLC39A6/CD3G/CD247/BLK/CD38/LAT2/ZNF683/CD300A/GBP1/CD79A",54
"GO:0046651","GO:0046651","lymphocyte proliferation","66/1233","312/18860",0.211538461538462,3.23569779774159,10.5315796998054,9.61897433250798e-18,6.93184134296371e-15,5.28522410723441e-15,"CCL5/SOX11/LILRB4/FGF10/CDKN2A/IL4I1/LAPTM5/SASH3/IKZF3/FCRL3/HLA-DRB1/ZAP70/CR2/RASAL3/PTPRC/IRF1/IL12RB1/IL7R/PTPN6/HLA-DPA1/PLA2G2D/TNFRSF9/FOXP3/CD6/FCGR3A/CD19/IL6ST/CORO1A/LILRB1/CD3E/CARD11/LEF1/NCKAP1L/CTLA4/CD74/SH2D2A/MS4A1/RAC2/TNFRSF13C/CD4/HLA-DPB1/DLG5/SLAMF1/CD80/SPN/WNT4/HLA-A/MYD88/PRNP/PRKCQ/DOCK2/CD24/LGALS9/IL2RA/CD86/TNFRSF4/CD38/MYC/IGF1/RIPOR2/HLA-DMB/CD37/VAV1/TYROBP/CD300A/CD79A",66
"GO:0050863","GO:0050863","regulation of T cell activation","77/1233","404/18860",0.190594059405941,2.91533167915332,10.2924211829882,1.01305682761618e-17,6.93184134296371e-15,5.28522410723441e-15,"CCL5/LILRB4/GATA3/CDKN2A/IL4I1/LAPTM5/SIRPG/TIGIT/SASH3/CAV1/ASCL2/ADAM8/HLA-DRB1/ZAP70/RASAL3/JAK3/HLA-DOA/PTPRC/IRF1/IL12RB1/IL7R/CD2/PTPN6/HLA-DPA1/PLA2G2D/TNFRSF9/FOXP3/CD6/HLA-DRA/LCK/IL6ST/CORO1A/LILRB1/CD3E/CARD11/LEF1/CCR7/NCKAP1L/CTLA4/CD74/CSK/RAC2/TNFRSF13C/CD4/HLA-DPB1/IL2RG/DLG5/SLAMF1/RUNX3/CD80/SPN/ZBTB16/SOCS1/PDCD1/CYRIB/CAMK4/FANCD2/HLA-A/LAX1/PRNP/PRKCQ/CD83/CD24/LGALS9/IL2RA/CD86/GLI3/LAG3/IGF1/IRF4/RIPOR2/HLA-DMB/CGAS/ZNF683/CD37/VAV1/CD300A",77
"GO:0070661","GO:0070661","leukocyte proliferation","71/1233","356/18860",0.199438202247191,3.05061191758477,10.3306424939078,1.57653582048809e-17,9.58884120150198e-15,7.31106962366697e-15,"CCL5/SOX11/LILRB4/FGF10/CDKN2A/IL4I1/LAPTM5/SASH3/IKZF3/FCRL3/KIT/HLA-DRB1/ZAP70/CR2/RASAL3/PTPRC/IRF1/IL12RB1/IL7R/PTPN6/HLA-DPA1/PLA2G2D/TNFRSF9/FOXP3/CD6/FCGR3A/CD19/IL6ST/CORO1A/LILRB1/CD3E/CARD11/LEF1/NCKAP1L/CTLA4/CD74/BST2/SH2D2A/MS4A1/RAC2/TNFRSF13C/CD4/HLA-DPB1/DLG5/SLAMF1/CD80/SPN/WNT4/HLA-A/MYD88/PRNP/PRKCQ/DOCK2/CD24/LGALS9/IL2RA/CD86/CX3CL1/TNFRSF4/CD38/TCIRG1/MYC/IGF1/RIPOR2/IL33/HLA-DMB/CD37/VAV1/TYROBP/CD300A/CD79A",71
"GO:0032943","GO:0032943","mononuclear cell proliferation","66/1233","319/18860",0.206896551724138,3.1646950247504,10.3128131662663,3.17587311999072e-17,1.73847294588292e-14,1.32550914955402e-14,"CCL5/SOX11/LILRB4/FGF10/CDKN2A/IL4I1/LAPTM5/SASH3/IKZF3/FCRL3/HLA-DRB1/ZAP70/CR2/RASAL3/PTPRC/IRF1/IL12RB1/IL7R/PTPN6/HLA-DPA1/PLA2G2D/TNFRSF9/FOXP3/CD6/FCGR3A/CD19/IL6ST/CORO1A/LILRB1/CD3E/CARD11/LEF1/NCKAP1L/CTLA4/CD74/SH2D2A/MS4A1/RAC2/TNFRSF13C/CD4/HLA-DPB1/DLG5/SLAMF1/CD80/SPN/WNT4/HLA-A/MYD88/PRNP/PRKCQ/DOCK2/CD24/LGALS9/IL2RA/CD86/TNFRSF4/CD38/MYC/IGF1/RIPOR2/HLA-DMB/CD37/VAV1/TYROBP/CD300A/CD79A",66
