"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04514","Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","42/702","160/9376",0.2625,3.50598290598291,9.09518103439598,2.46905395371857e-13,8.09849696819692e-11,5.97770957216076e-11,"201633/3123/3111/5788/5010/914/3134/3106/3113/923/3122/58494/3683/6402/3680/1493/1366/920/3115/84628/6404/26047/50848/941/925/6693/22871/5133/4359/1002/3105/3383/57863/3655/942/1000/10666/3385/947/83700/3109/3676",42
"hsa04517","Environmental Information Processing","Signaling molecules and interaction","hsa04517","IgSF CAM signaling","57/702","299/9376",0.190635451505017,2.54615098762256,7.72966752336771,2.78444852909815e-11,4.56649558772097e-09,3.3706482194346e-09,"5295/201633/10580/4629/4916/5803/10381/914/114836/5777/3687/3932/4638/5063/58494/3683/3937/8832/1445/962/6586/6504/10225/26047/50848/941/22871/57823/4359/10398/5376/287/145581/55558/3383/5588/57863/91584/8633/9863/942/1000/10666/3385/7277/219699/3736/83700/81928/79827/4063/7225/7409/10095/9046/3676/342035",57
"hsa05340","Human Diseases","Immune disease","hsa05340","Primary immunodeficiency","17/702","38/9376",0.447368421052632,5.97510871195082,8.74202257984064,3.90575848542831e-10,4.14697723967386e-08,3.06099090219829e-08,"915/7535/3718/6890/5788/3575/3932/930/4261/5993/6891/916/115650/920/3561/925/973",17
"hsa04640","Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","28/702","100/9376",0.28,3.7397150997151,7.83555058495605,5.05728931667544e-10,4.14697723967386e-08,3.06099090219829e-08,"924/3815/915/3123/1380/3111/2209/3575/914/3113/3122/930/916/931/920/3115/925/3673/100133941/3655/4311/3559/917/947/952/3109/951/3676",28
"hsa05416","Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","22/702","70/9376",0.314285714285714,4.1976393976394,7.63908719845932,3.42491800511999e-09,2.24674621135872e-07,1.65838134984758e-07,"1756/857/3123/3111/3134/3106/3113/3122/5551/8082/3683/5880/3115/941/3908/3105/3383/8910/942/284217/6443/3109",22
"hsa05169","Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","41/702","205/9376",0.2,2.67122507122507,6.88252838739193,4.33166623780717e-09,2.36797754333459e-07,1.74786532402746e-07,"6772/3627/4940/5295/4939/9636/915/1869/3123/1380/3718/6890/3111/1870/4938/3134/3106/3113/3122/930/6891/916/10379/3683/4794/3115/9641/864/3654/3105/4615/3383/11047/578/917/919/3665/4609/3109/3725/1871",41
"hsa04658","Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","25/702","93/9376",0.268817204301075,3.59035627852832,7.14169478220577,1.07915943564937e-08,5.05663278418561e-07,3.73243113081736e-07,"6772/2625/3560/915/3123/7535/3718/3111/3594/3113/3122/3932/916/4794/920/3115/3561/864/5588/3559/917/919/3109/3725/6775",25
"hsa05322","Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","32/702","143/9376",0.223776223776224,2.9887832964756,6.81755342680371,1.35168376753046e-08,5.5419034468749e-07,4.09062192805272e-07,"3123/3111/2209/3113/3122/2214/8354/8357/3115/440689/941/714/3014/8332/8970/713/8368/8340/942/8969/8352/8968/712/8335/8348/3109/2212/8356/8343/8345/733/8358",32
"hsa04659","Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","27/702","109/9376",0.247706422018349,3.30839802399435,6.89602530865672,1.90298583782171e-08,6.9353261645058e-07,5.11914318946192e-07,"50615/6772/2625/3560/915/3123/7535/3718/3111/3594/3113/50943/3122/3932/3572/916/4794/920/3115/3561/5588/3559/917/919/3662/3109/3725",27
"hsa04518","Environmental Information Processing","Signaling molecules and interaction","hsa04518","Integrin signaling","33/702","154/9376",0.214285714285714,2.86202686202686,6.62793481846194,2.49493894230433e-08,8.1833997307582e-07,6.04037849189469e-07,"7148/6696/5649/5295/80310/3682/5156/3687/3683/1288/3681/3480/3680/131873/5880/83706/3908/3673/8515/55679/3383/1311/3679/3655/64098/3385/5154/1956/55742/284217/3479/158326/3676",33
